frame_id,class,x,y,w,h,R
000001.jpg,person,868,988,376,377,90
000001.jpg,person,1225,1474,213,532,-18
000001.jpg,person,987,1722,125,308,0
000002.jpg,person,852,983,374,385,90
000002.jpg,person,1223,1481,212,522,-18
000002.jpg,person,990,1724,125,308,0
000003.jpg,person,836,977,372,393,90
000003.jpg,person,1220,1489,211,513,-18
000003.jpg,person,993,1725,125,308,0
000004.jpg,person,820,971,370,401,90
000004.jpg,person,1218,1497,210,504,-18
000004.jpg,person,996,1727,125,308,0
000005.jpg,person,804,965,368,409,90
000005.jpg,person,1215,1504,209,494,-18
000005.jpg,person,999,1728,125,308,0
000006.jpg,person,793,962,363,420,89
000006.jpg,person,1213,1508,207,493,-18
000006.jpg,person,1002,1730,124,307,0
000007.jpg,person,782,958,358,431,89
000007.jpg,person,1211,1511,204,491,-18
000007.jpg,person,1004,1731,124,306,0
000008.jpg,person,770,955,354,442,89
000008.jpg,person,1209,1514,202,490,-18
000008.jpg,person,1006,1733,124,305,0
000009.jpg,person,759,951,349,453,89
000009.jpg,person,1207,1518,200,488,-18
000009.jpg,person,1008,1734,123,304,0
000010.jpg,person,748,948,345,464,88
000010.jpg,person,1206,1521,198,487,-18
000010.jpg,person,1011,1736,123,303,0
000011.jpg,person,736,944,340,476,88
000011.jpg,person,1204,1524,195,485,-18
000011.jpg,person,1013,1737,123,302,0
000012.jpg,person,725,941,335,487,88
000012.jpg,person,1202,1527,193,484,-18
000012.jpg,person,1015,1739,122,301,0
000013.jpg,person,714,938,331,498,88
000013.jpg,person,1200,1531,191,482,-18
000013.jpg,person,1017,1741,122,300,0
000014.jpg,person,702,934,326,509,87
000014.jpg,person,1198,1534,188,481,-18
000014.jpg,person,1020,1742,122,299,0
000015.jpg,person,691,931,322,520,87
000015.jpg,person,1196,1537,186,479,-18
000015.jpg,person,1022,1744,121,298,0
000016.jpg,person,680,927,317,531,87
000016.jpg,person,1194,1540,184,477,-18
000016.jpg,person,1024,1745,121,297,0
000017.jpg,person,668,924,313,543,87
000017.jpg,person,1192,1544,182,476,-18
000017.jpg,person,1026,1747,121,297,0
000018.jpg,person,653,919,312,534,88
000018.jpg,person,1187,1549,185,473,-18
000018.jpg,person,1027,1749,117,294,0
000019.jpg,person,638,915,311,525,89
000019.jpg,person,1182,1554,189,469,-18
000019.jpg,person,1027,1752,114,292,0
000020.jpg,person,622,911,310,517,-89
000020.jpg,person,1177,1560,193,466,-18
000020.jpg,person,1027,1755,111,290,0
000021.jpg,person,607,906,309,508,-88
000021.jpg,person,1171,1565,196,463,-18
000021.jpg,person,1028,1757,107,288,0
000022.jpg,person,592,902,309,499,-87
000022.jpg,person,1166,1570,200,460,-18
000022.jpg,person,1028,1760,104,286,0
000023.jpg,person,579,899,293,496,-80
000023.jpg,person,1161,1577,195,452,-18
000023.jpg,person,1025,1761,111,266,-6
000024.jpg,person,575,891,290,495,-79
000024.jpg,person,1159,1580,192,450,-18
000024.jpg,person,1028,1761,109,269,-7
000025.jpg,person,571,883,287,493,-78
000025.jpg,person,1157,1584,189,448,-18
000025.jpg,person,1031,1762,107,272,-7
000026.jpg,person,567,876,285,491,-78
000026.jpg,person,1155,1587,186,447,-18
000026.jpg,person,1034,1762,106,276,-7
000027.jpg,person,564,868,282,489,-77
000027.jpg,person,1152,1590,183,445,-18
000027.jpg,person,1037,1762,104,279,-8
000028.jpg,person,560,860,279,487,-76
000028.jpg,person,1150,1593,181,443,-18
000028.jpg,person,1040,1762,103,283,-8
000029.jpg,person,556,853,277,485,-75
000029.jpg,person,1148,1596,178,441,-18
000029.jpg,person,1043,1762,101,286,-9
000030.jpg,person,553,845,274,483,-74
000030.jpg,person,1146,1600,175,439,-18
000030.jpg,person,1045,1762,100,290,-9
000031.jpg,person,549,837,272,481,-73
000031.jpg,person,1143,1603,172,438,-18
000031.jpg,person,1048,1762,98,293,-9
000032.jpg,person,545,829,269,479,-72
000032.jpg,person,1141,1606,169,436,-18
000032.jpg,person,1051,1762,97,297,-10
000033.jpg,person,541,822,266,477,-71
000033.jpg,person,1139,1609,166,434,-18
000033.jpg,person,1054,1762,95,300,-10
000034.jpg,person,538,814,264,475,-71
000034.jpg,person,1137,1613,163,432,-18
000034.jpg,person,1057,1762,94,304,-10
000035.jpg,person,534,806,261,473,-70
000035.jpg,person,1134,1616,161,431,-18
000035.jpg,person,1060,1763,92,307,-11
000036.jpg,person,530,799,258,471,-69
000036.jpg,person,1132,1619,158,429,-18
000036.jpg,person,1063,1763,91,310,-11
000037.jpg,person,527,791,256,469,-68
000037.jpg,person,1130,1622,155,427,-18
000037.jpg,person,1066,1763,89,314,-12
000038.jpg,person,523,783,253,467,-67
000038.jpg,person,1128,1625,152,425,-18
000038.jpg,person,1068,1763,88,317,-12
000039.jpg,person,520,779,253,465,-67
000039.jpg,person,1126,1631,153,421,-18
000039.jpg,person,1072,1764,83,307,-12
000040.jpg,person,517,775,254,463,-67
000040.jpg,person,1125,1636,154,416,-18
000040.jpg,person,1076,1764,79,296,-12
000041.jpg,person,515,771,254,461,-67
000041.jpg,person,1124,1641,155,411,-18
000041.jpg,person,1080,1765,74,286,-12
000042.jpg,person,512,767,254,459,-67
000042.jpg,person,1122,1646,156,407,-18
000042.jpg,person,1083,1766,70,275,-12
000043.jpg,person,509,763,254,457,-67
000043.jpg,person,1121,1652,157,402,-18
000043.jpg,person,1087,1767,65,264,-12
000044.jpg,person,507,759,254,455,-67
000044.jpg,person,1120,1657,158,397,-18
000044.jpg,person,1091,1768,61,254,-12
000045.jpg,person,507,759,254,455,-67
000045.jpg,person,1120,1657,158,397,-18
000045.jpg,person,1091,1768,61,254,-12
000046.jpg,person,507,759,254,455,-67
000046.jpg,person,1120,1657,158,397,-18
000046.jpg,person,1091,1768,61,254,-12
000047.jpg,person,507,759,254,455,-67
000047.jpg,person,1120,1657,158,397,-18
000047.jpg,person,1091,1768,61,254,-12
000048.jpg,person,507,759,254,455,-67
000048.jpg,person,1120,1657,158,397,-18
000048.jpg,person,1091,1768,61,254,-12
000049.jpg,person,507,759,254,455,-67
000049.jpg,person,1120,1657,158,397,-18
000049.jpg,person,1091,1768,61,254,-12
000050.jpg,person,500,751,232,489,-59
000050.jpg,person,1098,1671,161,380,-9
000051.jpg,person,497,746,229,483,-59
000051.jpg,person,1095,1673,160,379,-9
000052.jpg,person,494,741,227,477,-59
000052.jpg,person,1092,1675,159,377,-8
000053.jpg,person,491,736,224,471,-59
000053.jpg,person,1089,1677,159,376,-7
000054.jpg,person,489,731,221,465,-59
000054.jpg,person,1086,1679,158,374,-7
000055.jpg,person,486,726,218,460,-59
000055.jpg,person,1083,1680,157,373,-6
000056.jpg,person,483,721,215,454,-59
000056.jpg,person,1080,1682,157,372,-6
000057.jpg,person,480,715,212,448,-59
000057.jpg,person,1077,1684,156,370,-5
000058.jpg,person,477,710,210,442,-59
000058.jpg,person,1074,1686,155,369,-5
000059.jpg,person,474,705,207,436,-59
000059.jpg,person,1071,1688,155,367,-4
000060.jpg,person,471,700,204,431,-59
000060.jpg,person,1068,1690,154,366,-3
000061.jpg,person,468,695,201,425,-59
000061.jpg,person,1065,1691,153,364,-3
000062.jpg,person,465,690,198,419,-59
000062.jpg,person,1062,1693,153,363,-2
000063.jpg,person,462,685,196,413,-59
000063.jpg,person,1059,1695,152,361,-2
000064.jpg,person,459,679,193,407,-60
000064.jpg,person,1056,1697,151,360,-1
000065.jpg,person,456,674,190,402,-60
000065.jpg,person,1053,1699,151,359,-1
000066.jpg,person,457,670,187,401,-59
000066.jpg,person,1053,1699,152,358,-1
000067.jpg,person,457,666,185,401,-58
000067.jpg,person,1052,1698,153,358,-1
000068.jpg,person,458,661,183,401,-57
000068.jpg,person,1052,1698,154,357,-1
000069.jpg,person,458,657,180,401,-56
000069.jpg,person,1051,1698,155,357,-1
000070.jpg,person,459,653,178,400,-55
000070.jpg,person,1051,1698,156,356,-1
000071.jpg,person,459,648,175,400,-55
000071.jpg,person,1050,1697,157,356,-1
000072.jpg,person,459,644,173,400,-54
000072.jpg,person,1050,1697,158,355,-1
000073.jpg,person,460,639,170,400,-53
000073.jpg,person,1049,1697,159,355,-1
000074.jpg,person,460,635,168,400,-52
000074.jpg,person,1049,1697,160,355,-1
000075.jpg,person,461,630,168,396,-52
000075.jpg,person,1050,1697,158,354,-1
000076.jpg,person,462,626,168,392,-52
000076.jpg,person,1051,1697,156,354,-1
000077.jpg,person,463,621,168,388,-52
000077.jpg,person,1051,1697,154,354,-1
000078.jpg,person,463,616,167,384,-52
000078.jpg,person,1052,1697,153,354,-1
000079.jpg,person,464,612,167,380,-52
000079.jpg,person,1053,1696,151,354,-1
000080.jpg,person,465,607,167,376,-52
000080.jpg,person,1054,1696,149,354,-1
000081.jpg,person,466,602,167,372,-52
000081.jpg,person,1055,1696,148,353,-1
000082.jpg,person,466,598,167,369,-52
000082.jpg,person,1056,1696,146,353,-1
000083.jpg,person,467,593,167,365,-52
000083.jpg,person,1056,1696,144,353,-1
000084.jpg,person,468,589,167,364,-52
000084.jpg,person,1058,1696,145,353,-1
000085.jpg,person,469,586,167,362,-52
000085.jpg,person,1060,1696,146,354,-1
000086.jpg,person,471,582,167,361,-52
000086.jpg,person,1062,1697,147,354,-1
000087.jpg,person,472,579,167,360,-52
000087.jpg,person,1064,1697,148,354,-1
000088.jpg,person,473,575,167,359,-52
000088.jpg,person,1066,1697,149,354,-1
000089.jpg,person,474,572,167,358,-52
000089.jpg,person,1068,1697,150,355,-1
000090.jpg,person,476,568,166,357,-52
000090.jpg,person,1069,1697,150,355,-1
000091.jpg,person,477,565,166,356,-51
000091.jpg,person,1071,1697,151,355,-1
000092.jpg,person,478,562,166,355,-51
000092.jpg,person,1073,1697,152,355,-1
000093.jpg,person,479,558,166,354,-51
000093.jpg,person,1075,1697,153,356,-1
000094.jpg,person,480,555,166,352,-51
000094.jpg,person,1077,1697,154,356,-1
000095.jpg,person,482,551,166,351,-51
000095.jpg,person,1079,1698,155,356,-1
000096.jpg,person,483,548,166,350,-51
000096.jpg,person,1080,1698,156,356,-1
000097.jpg,person,484,544,166,349,-51
000097.jpg,person,1082,1698,157,357,-1
000098.jpg,person,484,544,166,349,-51
000098.jpg,person,1082,1698,157,357,-1
000099.jpg,person,486,542,167,349,-50
000099.jpg,person,1084,1696,157,358,-1
000100.jpg,person,488,539,167,349,-49
000100.jpg,person,1085,1694,158,359,-2
000101.jpg,person,489,537,168,349,-48
000101.jpg,person,1086,1691,158,360,-2
000102.jpg,person,491,534,168,349,-47
000102.jpg,person,1087,1689,159,361,-3
000103.jpg,person,493,532,169,349,-47
000103.jpg,person,1088,1687,160,362,-4
000104.jpg,person,495,529,169,349,-46
000104.jpg,person,1089,1685,160,364,-4
000105.jpg,person,496,527,169,349,-45
000105.jpg,person,1091,1683,161,365,-5
000106.jpg,person,498,524,170,348,-44
000106.jpg,person,1092,1681,162,366,-6
000107.jpg,person,500,522,170,348,-43
000107.jpg,person,1093,1678,162,367,-6
000108.jpg,person,502,519,171,348,-42
000108.jpg,person,1094,1676,163,368,-7
000109.jpg,person,503,517,171,348,-41
000109.jpg,person,1095,1674,163,370,-8
000110.jpg,person,505,514,172,348,-40
000110.jpg,person,1097,1672,164,371,-8
000111.jpg,person,507,512,172,348,-40
000111.jpg,person,1098,1670,165,372,-9
000112.jpg,person,508,509,173,348,-39
000112.jpg,person,1099,1668,165,373,-10
000113.jpg,person,510,507,173,348,-38
