frame_id,class_id,x_center,y_center,width,height
000001.jpg,0,0.423828,0.482422,0.183594,0.184082
000001.jpg,0,0.598145,0.719727,0.104004,0.259766
000001.jpg,0,0.481934,0.84082,0.061035,0.150391
000002.jpg,0,0.416016,0.47998,0.182617,0.187988
000002.jpg,0,0.597168,0.723145,0.103516,0.254883
000002.jpg,0,0.483398,0.841797,0.061035,0.150391
000003.jpg,0,0.408203,0.477051,0.181641,0.191895
000003.jpg,0,0.595703,0.727051,0.103027,0.250488
000003.jpg,0,0.484863,0.842285,0.061035,0.150391
000004.jpg,0,0.400391,0.474121,0.180664,0.195801
000004.jpg,0,0.594727,0.730957,0.102539,0.246094
000004.jpg,0,0.486328,0.843262,0.061035,0.150391
000005.jpg,0,0.392578,0.471191,0.179688,0.199707
000005.jpg,0,0.593262,0.734375,0.102051,0.241211
000005.jpg,0,0.487793,0.84375,0.061035,0.150391
000006.jpg,0,0.387207,0.469727,0.177246,0.205078
000006.jpg,0,0.592285,0.736328,0.101074,0.240723
000006.jpg,0,0.489258,0.844727,0.060547,0.149902
000007.jpg,0,0.381836,0.467773,0.174805,0.210449
000007.jpg,0,0.591309,0.737793,0.099609,0.239746
000007.jpg,0,0.490234,0.845215,0.060547,0.149414
000008.jpg,0,0.375977,0.466309,0.172852,0.21582
000008.jpg,0,0.590332,0.739258,0.098633,0.239258
000008.jpg,0,0.491211,0.846191,0.060547,0.148926
000009.jpg,0,0.370605,0.464355,0.17041,0.221191
000009.jpg,0,0.589355,0.741211,0.097656,0.238281
000009.jpg,0,0.492188,0.84668,0.060059,0.148438
000010.jpg,0,0.365234,0.462891,0.168457,0.226562
000010.jpg,0,0.588867,0.742676,0.09668,0.237793
000010.jpg,0,0.493652,0.847656,0.060059,0.147949
000011.jpg,0,0.359375,0.460938,0.166016,0.232422
000011.jpg,0,0.587891,0.744141,0.095215,0.236816
000011.jpg,0,0.494629,0.848145,0.060059,0.147461
000012.jpg,0,0.354004,0.459473,0.163574,0.237793
000012.jpg,0,0.586914,0.745605,0.094238,0.236328
000012.jpg,0,0.495605,0.849121,0.05957,0.146973
000013.jpg,0,0.348633,0.458008,0.161621,0.243164
000013.jpg,0,0.585938,0.747559,0.093262,0.235352
000013.jpg,0,0.496582,0.850098,0.05957,0.146484
000014.jpg,0,0.342773,0.456055,0.15918,0.248535
000014.jpg,0,0.584961,0.749023,0.091797,0.234863
000014.jpg,0,0.498047,0.850586,0.05957,0.145996
000015.jpg,0,0.337402,0.45459,0.157227,0.253906
000015.jpg,0,0.583984,0.750488,0.09082,0.233887
000015.jpg,0,0.499023,0.851562,0.059082,0.145508
000016.jpg,0,0.332031,0.452637,0.154785,0.259277
000016.jpg,0,0.583008,0.751953,0.089844,0.23291
000016.jpg,0,0.5,0.852051,0.059082,0.14502
000017.jpg,0,0.326172,0.451172,0.152832,0.265137
000017.jpg,0,0.582031,0.753906,0.088867,0.232422
000017.jpg,0,0.500977,0.853027,0.059082,0.14502
000018.jpg,0,0.318848,0.44873,0.152344,0.260742
000018.jpg,0,0.57959,0.756348,0.090332,0.230957
000018.jpg,0,0.501465,0.854004,0.057129,0.143555
000019.jpg,0,0.311523,0.446777,0.151855,0.256348
000019.jpg,0,0.577148,0.758789,0.092285,0.229004
000019.jpg,0,0.501465,0.855469,0.055664,0.142578
000020.jpg,0,0.303711,0.444824,0.151367,0.252441
000020.jpg,0,0.574707,0.761719,0.094238,0.227539
000020.jpg,0,0.501465,0.856934,0.054199,0.141602
000021.jpg,0,0.296387,0.442383,0.150879,0.248047
000021.jpg,0,0.571777,0.76416,0.095703,0.226074
000021.jpg,0,0.501953,0.85791,0.052246,0.140625
000022.jpg,0,0.289062,0.44043,0.150879,0.243652
000022.jpg,0,0.569336,0.766602,0.097656,0.224609
000022.jpg,0,0.501953,0.859375,0.050781,0.139648
000023.jpg,0,0.282715,0.438965,0.143066,0.242188
000023.jpg,0,0.566895,0.77002,0.095215,0.220703
000023.jpg,0,0.500488,0.859863,0.054199,0.129883
000024.jpg,0,0.280762,0.435059,0.141602,0.241699
000024.jpg,0,0.565918,0.771484,0.09375,0.219727
000024.jpg,0,0.501953,0.859863,0.053223,0.131348
000025.jpg,0,0.278809,0.431152,0.140137,0.240723
000025.jpg,0,0.564941,0.773438,0.092285,0.21875
000025.jpg,0,0.503418,0.860352,0.052246,0.132812
000026.jpg,0,0.276855,0.427734,0.13916,0.239746
000026.jpg,0,0.563965,0.774902,0.09082,0.218262
000026.jpg,0,0.504883,0.860352,0.051758,0.134766
000027.jpg,0,0.275391,0.423828,0.137695,0.23877
000027.jpg,0,0.5625,0.776367,0.089355,0.217285
000027.jpg,0,0.506348,0.860352,0.050781,0.13623
000028.jpg,0,0.273438,0.419922,0.13623,0.237793
000028.jpg,0,0.561523,0.777832,0.088379,0.216309
000028.jpg,0,0.507812,0.860352,0.050293,0.138184
000029.jpg,0,0.271484,0.416504,0.135254,0.236816
000029.jpg,0,0.560547,0.779297,0.086914,0.215332
000029.jpg,0,0.509277,0.860352,0.049316,0.139648
000030.jpg,0,0.27002,0.412598,0.133789,0.23584
000030.jpg,0,0.55957,0.78125,0.085449,0.214355
000030.jpg,0,0.510254,0.860352,0.048828,0.141602
000031.jpg,0,0.268066,0.408691,0.132812,0.234863
000031.jpg,0,0.558105,0.782715,0.083984,0.213867
000031.jpg,0,0.511719,0.860352,0.047852,0.143066
000032.jpg,0,0.266113,0.404785,0.131348,0.233887
000032.jpg,0,0.557129,0.78418,0.08252,0.212891
000032.jpg,0,0.513184,0.860352,0.047363,0.14502
000033.jpg,0,0.26416,0.401367,0.129883,0.23291
000033.jpg,0,0.556152,0.785645,0.081055,0.211914
000033.jpg,0,0.514648,0.860352,0.046387,0.146484
000034.jpg,0,0.262695,0.397461,0.128906,0.231934
000034.jpg,0,0.555176,0.787598,0.07959,0.210938
000034.jpg,0,0.516113,0.860352,0.045898,0.148438
000035.jpg,0,0.260742,0.393555,0.127441,0.230957
000035.jpg,0,0.553711,0.789062,0.078613,0.210449
000035.jpg,0,0.517578,0.86084,0.044922,0.149902
000036.jpg,0,0.258789,0.390137,0.125977,0.22998
000036.jpg,0,0.552734,0.790527,0.077148,0.209473
000036.jpg,0,0.519043,0.86084,0.044434,0.151367
000037.jpg,0,0.257324,0.38623,0.125,0.229004
000037.jpg,0,0.551758,0.791992,0.075684,0.208496
000037.jpg,0,0.520508,0.86084,0.043457,0.15332
000038.jpg,0,0.255371,0.382324,0.123535,0.228027
000038.jpg,0,0.550781,0.793457,0.074219,0.20752
000038.jpg,0,0.521484,0.86084,0.042969,0.154785
000039.jpg,0,0.253906,0.380371,0.123535,0.227051
000039.jpg,0,0.549805,0.796387,0.074707,0.205566
000039.jpg,0,0.523438,0.861328,0.040527,0.149902
000040.jpg,0,0.252441,0.378418,0.124023,0.226074
000040.jpg,0,0.549316,0.798828,0.075195,0.203125
000040.jpg,0,0.525391,0.861328,0.038574,0.144531
000041.jpg,0,0.251465,0.376465,0.124023,0.225098
000041.jpg,0,0.548828,0.80127,0.075684,0.200684
000041.jpg,0,0.527344,0.861816,0.036133,0.139648
000042.jpg,0,0.25,0.374512,0.124023,0.224121
000042.jpg,0,0.547852,0.803711,0.076172,0.19873
000042.jpg,0,0.528809,0.862305,0.03418,0.134277
000043.jpg,0,0.248535,0.372559,0.124023,0.223145
000043.jpg,0,0.547363,0.806641,0.07666,0.196289
000043.jpg,0,0.530762,0.862793,0.031738,0.128906
000044.jpg,0,0.247559,0.370605,0.124023,0.222168
000044.jpg,0,0.546875,0.809082,0.077148,0.193848
000044.jpg,0,0.532715,0.863281,0.029785,0.124023
000045.jpg,0,0.247559,0.370605,0.124023,0.222168
