image,class_id,confidence,x1,y1,x2,y2
000001.jpg,0,0.92,684.6,797.8,1068.0,1191.3
000001.jpg,0,0.911,1111.6,1212.7,1323.2,1723.7
000001.jpg,0,0.91,923.6,1569.7,1055.8,1872.3
000002.jpg,0,0.914,1113.6,1230.9,1322.2,1734.1
000002.jpg,0,0.912,925.7,1571.4,1056.9,1874.1
000002.jpg,0,0.905,669.9,789.3,1038.4,1179.7
000003.jpg,0,0.918,1114.7,1237.9,1324.5,1738.6
000003.jpg,0,0.912,930.6,1572.0,1057.5,1875.1
000003.jpg,0,0.907,653.3,777.3,1016.8,1175.0
000004.jpg,0,0.921,934.3,1578.3,1060.4,1875.7
000004.jpg,0,0.913,1111.7,1245.7,1320.0,1734.6
000004.jpg,0,0.91,638.5,763.7,1003.8,1169.5
000005.jpg,0,0.93,936.3,1579.9,1062.5,1876.0
000005.jpg,0,0.915,628.9,758.7,985.9,1167.0
000005.jpg,0,0.908,1108.2,1254.6,1318.3,1737.2
000006.jpg,0,0.931,940.6,1582.7,1064.8,1877.1
000006.jpg,0,0.916,617.5,742.9,967.9,1165.8
000006.jpg,0,0.892,1109.9,1258.6,1314.6,1749.1
000007.jpg,0,0.93,944.0,1582.7,1068.5,1878.8
000007.jpg,0,0.919,604.4,735.8,957.2,1166.4
000007.jpg,0,0.899,1111.1,1262.4,1308.4,1751.3
000008.jpg,0,0.923,946.3,1585.2,1069.1,1876.5
000008.jpg,0,0.913,595.0,725.6,942.1,1169.3
000008.jpg,0,0.898,1108.3,1266.5,1306.7,1755.0
000009.jpg,0,0.916,948.6,1586.3,1073.3,1876.5
000009.jpg,0,0.915,585.4,723.7,932.3,1176.9
000009.jpg,0,0.9,1107.2,1272.8,1306.9,1757.1
000010.jpg,0,0.922,573.5,703.6,918.2,1179.2
000010.jpg,0,0.906,950.2,1589.2,1078.8,1876.5
000010.jpg,0,0.897,1108.7,1277.5,1305.5,1762.7
000011.jpg,0,0.928,564.5,697.7,905.4,1180.1
000011.jpg,0,0.9,1108.4,1280.4,1305.2,1762.9
000011.jpg,0,0.886,948.6,1590.2,1082.6,1884.7
000012.jpg,0,0.912,556.0,693.3,892.9,1179.2
000012.jpg,0,0.902,1106.4,1282.5,1300.4,1767.7
000012.jpg,0,0.888,953.1,1594.8,1083.0,1880.8
000013.jpg,0,0.916,555.8,685.8,879.8,1180.7
000013.jpg,0,0.909,1100.2,1291.7,1296.9,1771.3
000013.jpg,0,0.896,954.4,1594.3,1085.0,1880.8
000014.jpg,0,0.917,543.5,681.4,864.3,1181.9
000014.jpg,0,0.909,1099.5,1288.6,1296.4,1775.7
