epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,47.3045,1.59385,1.49056,1.53847,0.88822,0.73025,0.78417,0.38119,1.88322,1.21259,2.02016,0.000657778,0.000657778,0.000657778
2,89.9616,1.29066,0.82257,1.2709,0.8651,0.8176,0.84704,0.38727,1.94105,1.4302,1.87345,0.00129822,0.00129822,0.00129822
3,131.753,1.1972,0.68831,1.24159,0.92397,0.93666,0.96635,0.49796,1.67733,0.91457,1.67639,0.00191226,0.00191226,0.00191226
4,173.593,1.17571,0.66368,1.23941,0.9042,0.85549,0.91838,0.47817,1.65965,0.77941,1.65929,0.0018812,0.0018812,0.0018812
5,217.021,1.09471,0.58636,1.18772,0.9505,0.92504,0.95778,0.499,1.64217,0.79681,1.63793,0.0018416,0.0018416,0.0018416
6,259.625,1.01738,0.55127,1.14351,0.87093,0.86513,0.91149,0.46083,1.71102,0.76857,1.67189,0.001802,0.001802,0.001802
7,301,0.97966,0.55432,1.12357,0.94005,0.91522,0.95479,0.53566,1.54607,0.68676,1.57988,0.0017624,0.0017624,0.0017624
8,345.075,0.92255,0.51216,1.09141,0.92857,0.90173,0.94967,0.51385,1.6036,0.71729,1.57837,0.0017228,0.0017228,0.0017228
9,387.992,0.93077,0.51275,1.08996,0.9232,0.92641,0.95983,0.51258,1.66298,0.71699,1.66216,0.0016832,0.0016832,0.0016832
10,431.565,0.88533,0.50023,1.0794,0.93234,0.92047,0.93425,0.50976,1.60136,0.69301,1.62314,0.0016436,0.0016436,0.0016436
11,474.875,0.85495,0.47847,1.06092,0.9456,0.92657,0.9635,0.56627,1.48353,0.61189,1.56576,0.001604,0.001604,0.001604
12,516.73,0.86277,0.47543,1.0711,0.91243,0.93688,0.95108,0.53862,1.53144,0.62557,1.59663,0.0015644,0.0015644,0.0015644
13,559.547,0.85382,0.46957,1.07042,0.9127,0.89971,0.94683,0.52782,1.58532,0.67181,1.60764,0.0015248,0.0015248,0.0015248
14,601.838,0.80056,0.43465,1.04113,0.89076,0.93217,0.9489,0.56774,1.49736,0.59375,1.55999,0.0014852,0.0014852,0.0014852
15,644.592,0.77686,0.42276,1.02917,0.93804,0.85678,0.95431,0.52478,1.6468,0.67307,1.64908,0.0014456,0.0014456,0.0014456
16,686.44,0.76747,0.42383,1.01471,0.95404,0.91999,0.96566,0.58742,1.45738,0.58811,1.57998,0.001406,0.001406,0.001406
17,729.835,0.73285,0.41807,1.00822,0.94591,0.84714,0.91263,0.47723,1.66871,0.72544,1.77315,0.0013664,0.0013664,0.0013664
18,773.431,0.73803,0.40248,1.01092,0.95207,0.89314,0.91418,0.49766,1.65295,0.70412,1.74284,0.0013268,0.0013268,0.0013268
19,814.82,0.71686,0.3905,0.9982,0.92708,0.90238,0.94864,0.5772,1.49541,0.6835,1.59775,0.0012872,0.0012872,0.0012872
20,855.906,0.69988,0.38946,1.00017,0.95657,0.90529,0.9615,0.54028,1.60695,0.62927,1.71115,0.0012476,0.0012476,0.0012476
21,898.015,0.67102,0.37835,0.98702,0.92939,0.90173,0.93323,0.51706,1.54085,0.65055,1.68013,0.001208,0.001208,0.001208
22,941.556,0.66311,0.37159,0.98833,0.9677,0.88524,0.94453,0.53813,1.56349,0.61634,1.72455,0.0011684,0.0011684,0.0011684
23,984.72,0.6437,0.36028,0.97108,0.9709,0.8785,0.91707,0.51192,1.58159,0.62485,1.72993,0.0011288,0.0011288,0.0011288
24,1026.34,0.64773,0.36362,0.96932,0.95686,0.88333,0.96375,0.56917,1.52578,0.6075,1.68256,0.0010892,0.0010892,0.0010892
25,1068.65,0.63013,0.35162,0.96325,0.96087,0.89893,0.96451,0.59137,1.47941,0.59899,1.62522,0.0010496,0.0010496,0.0010496
26,1112.96,0.62464,0.35123,0.96611,0.96113,0.88935,0.96634,0.56724,1.56646,0.61335,1.77127,0.00101,0.00101,0.00101
